Cycles (Myr)	Spectral Power
0.022787849	0.910739343
0.022869234	0.905555081
0.02295062	0.897176981
0.023032005	0.886036099
0.02311339	0.87249279
0.023194775	0.856829192
0.02327616	0.839249071
0.023357545	0.819884681
0.023438931	0.798809794
0.023520316	0.776057739
0.023601701	0.751642884
0.023683086	0.725583839
0.023764471	0.697926471
0.023845856	0.668764831
0.023927242	0.638258218
0.024008627	0.6066428
0.024090012	0.574236585
0.024171397	0.541436946
0.024252782	0.508710414
0.024334168	0.476575007
0.024415553	0.445575908
0.024496938	0.416255842
0.024578323	0.389121963
0.024659708	0.364611448
0.024741093	0.343058248
0.024822479	0.324663525
0.024903864	0.309472296
0.024985249	0.29735854
0.025066634	0.28802065
0.025148019	0.2809886
0.025229404	0.275643495
0.02531079	0.271249461
0.025392175	0.266997011
0.02547356	0.26205622
0.025554945	0.255637294
0.02563633	0.247055432
0.025717716	0.235796387
0.025799101	0.221578753
0.025880486	0.204408907
0.025961871	0.184624593
0.026043256	0.162923534
0.026124641	0.14037397
0.026206027	0.118404865
0.026287412	0.098774473
0.026368797	0.083517073
0.026450182	0.074868871
0.026531567	0.075175304
0.026612952	0.086783115
0.026694338	0.111921649
0.026775723	0.152578686
0.026857108	0.210376762
0.026938493	0.286456293
0.027019878	0.381371874
0.027101264	0.495007806
0.027182649	0.626518327
0.027264034	0.774297057
0.027345419	0.935978984
0.027426804	1.108476861
0.027508189	1.288052315
0.027589575	1.470420256
0.02767096	1.650883527
0.027752345	1.82449312
0.02783373	1.98622786
0.027915115	2.131186291
0.0279965	2.254782605
0.028077886	2.352938009
0.028159271	2.422258767
0.028240656	2.460192529
0.028322041	2.465155277
0.028403426	2.436622341
0.028484811	2.375178414
0.028566197	2.282523232
0.028647582	2.161431533
0.028728967	2.015667948
0.028810352	1.849859551
0.028891737	1.669330739
0.028973123	1.479906917
0.029054508	1.287694971
0.029135893	1.098849645
0.029217278	0.919335719
0.029298663	0.754696165
0.029380048	0.609836304
0.029461434	0.488833347
0.029542819	0.394779649
0.029624204	0.329666547
0.029705589	0.294313885
0.029786974	0.288348321
0.029868359	0.310231345
0.029949745	0.357335759
0.03003113	0.426067217
0.030112515	0.512025447
0.0301939	0.610198058
0.030275285	0.715178413
0.030356671	0.821398074
0.030438056	0.92336371
0.030519441	1.015888284
0.030600826	1.094306656
0.030682211	1.154666527
0.030763596	1.19388683
0.030844982	1.209877189
0.030926367	1.201613857
0.031007752	1.169169479
0.031089137	1.113696108
0.031170522	1.0373629
0.031251907	0.943251874
0.031333293	0.835216871
0.031414678	0.717712316
0.031496063	0.595599575
0.031577448	0.473939478
0.031658833	0.357779999
0.031740219	0.251948052
0.031821604	0.160854028
0.031902989	0.088316874
0.031984374	0.037416504
0.032065759	0.010378963
0.032147144	0.008498245
0.03222853	0.032097035
0.032309915	0.080526923
0.0323913	0.152207027
0.032472685	0.244698361
0.03255407	0.354809943
0.032635455	0.478731447
0.032716841	0.612186325
0.032798226	0.750598708
0.032879611	0.889267098
0.032960996	1.023537859
0.033042381	1.148971824
0.033123767	1.261497863
0.033205152	1.357548061
0.033286537	1.434170102
0.033367922	1.489113551
0.033449307	1.520887893
0.033530692	1.528791387
0.033612078	1.512910939
0.033693463	1.474094311
0.033774848	1.413896936
0.033856233	1.334506454
0.033937618	1.238648714
0.034019003	1.129479483
0.034100389	1.010466347
0.034181774	0.885265406
0.034263159	0.757597232
0.034344544	0.631126349
0.034425929	0.509348064
0.034507314	0.395485994
0.0345887	0.292403044
0.034670085	0.202527963
